site_type,distance_angstrom
FCC,0.660363
FCC,1.669723
FCC,0.752151
FCC,1.90386
FCC,1.482448
FCC,1.688977
FCC,1.756533
FCC,1.436227
FCC,0.774922
FCC,1.48512
FCC,0.301265
FCC,1.63695
FCC,1.472794
FCC,0.580818
FCC,0.791127
FCC,1.737598
FCC,1.28812
FCC,1.42526
FCC,1.268828
FCC,1.385711
FCC,1.475726
FCC,0.625968
FCC,1.383099
FCC,1.520459
FCC,0.595839
FCC,0.406357
FCC,0.94017
FCC,1.195452
FCC,0.767885
FCC,1.233368
FCC,0.50569
FCC,0.769371
FCC,0.903199
FCC,0.570666
FCC,0.639051
FCC,1.658496
FCC,1.54518
FCC,0.63901
FCC,0.928444
FCC,1.488291
FCC,0.368676
FCC,1.062912
FCC,0.647724
FCC,1.385163
FCC,1.788031
FCC,1.333414
FCC,1.465625
FCC,0.961381
FCC,0.931447
FCC,0.649783
FCC,1.25519
FCC,1.732997
FCC,0.634766
FCC,1.513943
FCC,1.726927
FCC,1.965811
FCC,1.608599
FCC,1.500191
FCC,1.416644
FCC,1.727538
FCC,1.42971
FCC,0.720908
FCC,1.264074
FCC,2.201217
FCC,1.325958
FCC,0.951707
FCC,0.471563
FCC,0.224927
FCC,0.979703
FCC,0.973776
FCC,1.398325
FCC,1.736577
FCC,1.422189
FCC,0.431653
FCC,1.632116
FCC,0.632287
FCC,1.617703
FCC,1.004072
FCC,0.486282
FCC,1.810454
FCC,0.577983
FCC,0.600391
FCC,0.846703
FCC,0.584077
FCC,1.445114
FCC,1.611793
FCC,1.001021
FCC,1.244353
FCC,1.344291
FCC,0.797988
FCC,0.784439
FCC,0.505527
FCC,0.688196
FCC,1.942958
FCC,0.61685
FCC,1.021535
FCC,0.997239
FCC,0.75534
FCC,0.524296
FCC,1.562498
FCC,0.861019
FCC,1.011626
FCC,1.426747
FCC,0.349104
FCC,1.017347
FCC,0.792755
FCC,1.276523
FCC,1.315628
FCC,1.540336
FCC,0.801252
FCC,1.144696
FCC,1.466882
FCC,1.163083
FCC,2.035307
FCC,0.972998
FCC,0.788248
FCC,1.099397
FCC,0.949626
FCC,1.810978
FCC,1.064752
FCC,0.765084
FCC,0.371819
FCC,1.887752
FCC,1.160563
FCC,0.635179
FCC,0.63048
FCC,0.961984
FCC,1.573385
FCC,1.531343
FCC,1.025736
FCC,0.746928
FCC,1.867012
FCC,1.836615
FCC,1.55758
FCC,0.379417
FCC,1.187308
FCC,0.945872
FCC,1.176589
FCC,1.625177
FCC,0.997333
FCC,1.589392
FCC,1.061354
FCC,0.910391
FCC,0.826116
FCC,1.640042
FCC,1.457484
FCC,0.743473
FCC,0.497953
FCC,1.603007
FCC,0.901359
FCC,0.591084
FCC,1.901488
FCC,1.569099
FCC,0.73707
FCC,0.60425
FCC,1.386332
FCC,0.616696
FCC,1.992032
FCC,1.716087
FCC,0.931792
FCC,0.829268
FCC,0.753316
FCC,1.392854
FCC,0.939831
FCC,1.467147
FCC,1.359929
FCC,1.125448
FCC,0.290724
FCC,1.722437
FCC,1.182854
FCC,0.611385
FCC,1.61295
FCC,0.760227
FCC,1.530314
FCC,1.440907
FCC,1.312396
FCC,1.43713
FCC,1.2977
FCC,0.917014
FCC,0.762888
FCC,1.885035
FCC,0.689396
FCC,0.891182
FCC,1.679204
FCC,0.353684
FCC,0.698872
FCC,0.509831
FCC,1.437093
FCC,0.753683
FCC,0.428904
FCC,0.762428
FCC,0.949457
FCC,1.182102
FCC,0.615573
FCC,1.271809
FCC,1.944196
FCC,1.013485
FCC,0.653101
FCC,1.436391
FCC,0.815959
FCC,1.011991
FCC,1.476018
FCC,1.837979
FCC,1.43122
FCC,1.76535
FCC,0.69244
FCC,1.150628
FCC,1.15308
FCC,1.674129
FCC,1.016283
FCC,1.164672
FCC,0.862197
FCC,1.481759
FCC,0.75503
FCC,1.051489
FCC,1.184769
FCC,0.560299
FCC,0.914049
FCC,1.28091
FCC,0.758619
FCC,1.714582
FCC,1.390836
FCC,1.689273
FCC,1.91858
FCC,1.019172
FCC,1.189997
FCC,1.466528
FCC,1.294276
FCC,1.484227
FCC,1.424051
FCC,0.583434
FCC,1.024049
FCC,1.541515
FCC,0.887928
FCC,1.238346
FCC,1.013173
FCC,1.924963
FCC,2.112188
FCC,1.612611
FCC,0.813516
FCC,0.601101
FCC,1.268663
FCC,0.835999
FCC,1.725009
FCC,0.8796
FCC,0.689497
FCC,2.071138
FCC,1.609008
FCC,0.745045
FCC,1.500663
FCC,1.01143
FCC,1.907061
FCC,1.812112
FCC,1.063075
FCC,0.779378
FCC,1.650447
FCC,1.448779
FCC,1.425981
FCC,1.631325
FCC,1.22605
FCC,0.927029
FCC,1.73433
FCC,0.870804
FCC,0.438902
FCC,1.316309
FCC,1.178327
FCC,1.727493
FCC,1.141164
FCC,0.642404
FCC,1.299435
FCC,1.859031
FCC,1.160001
FCC,1.270342
FCC,1.466174
FCC,1.459974
FCC,1.11826
FCC,1.682691
FCC,0.832892
FCC,0.6972
FCC,1.008813
FCC,2.179462
FCC,1.288458
FCC,1.927792
FCC,0.897112
FCC,0.389965
FCC,1.3704
FCC,2.185884
FCC,0.978278
FCC,0.81334
FCC,0.96004
FCC,1.70385
FCC,1.517102
FCC,1.473083
FCC,0.85361
FCC,1.588546
FCC,0.777813
FCC,1.553628
FCC,1.325637
FCC,1.036093
FCC,1.494817
FCC,1.087618
FCC,1.172862
FCC,1.605519
FCC,0.585553
FCC,1.371838
FCC,1.716454
FCC,1.280642
FCC,1.745765
FCC,1.332037
FCC,0.844994
FCC,0.66348
FCC,1.890484
FCC,0.746192
FCC,1.567008
FCC,1.842413
